rx,ry,rz,tx,ty,tz
-0.017276,-0.047459,-0.045868,0.003985,-0.021855,0.004816
-0.015027,-0.044792,-0.039884,0.003859,-0.020410,0.003528
-0.012808,-0.041514,-0.033281,0.003388,-0.019046,0.002085
-0.009988,-0.038250,-0.026581,0.003194,-0.017088,0.000902
-0.007540,-0.034429,-0.019298,0.002523,-0.015561,-0.000411
-0.004750,-0.030788,-0.012068,0.002178,-0.013667,-0.001803
-0.002116,-0.026922,-0.004946,0.001539,-0.011978,-0.002791
0.000634,-0.023190,0.002034,0.001065,-0.010258,-0.003860
0.003481,-0.019592,0.008378,0.000642,-0.008513,-0.004652
0.006132,-0.016017,0.014370,0.000152,-0.007083,-0.005554
0.008946,-0.012601,0.019826,-0.000265,-0.005541,-0.006361
0.011486,-0.009521,0.024497,-0.000544,-0.004379,-0.006898
0.013788,-0.006579,0.028588,-0.000909,-0.003504,-0.007479
0.016185,-0.004120,0.031509,-0.001100,-0.002492,-0.007586
0.017880,-0.002008,0.033831,-0.001274,-0.002174,-0.007831
0.019661,-0.000362,0.035311,-0.001299,-0.001618,-0.007795
0.020707,0.000776,0.035879,-0.001282,-0.001630,-0.007793
0.021582,0.001262,0.035749,-0.001024,-0.001603,-0.007773
0.022126,0.001223,0.034594,-0.000817,-0.001691,-0.007211
0.021861,0.000773,0.032803,-0.000671,-0.002429,-0.006460
0.021537,-0.000381,0.030100,-0.000203,-0.003011,-0.005572
0.020606,-0.001686,0.026724,0.000080,-0.004009,-0.004868
0.019073,-0.003499,0.022526,0.000538,-0.005339,-0.004076
0.017581,-0.005682,0.017777,0.001130,-0.006316,-0.002874
0.015140,-0.008036,0.012221,0.001574,-0.007837,-0.002085
0.012495,-0.010657,0.005915,0.001944,-0.009030,-0.000987
0.009060,-0.013865,-0.000826,0.002611,-0.010531,0.000337
0.005210,-0.017339,-0.008194,0.003134,-0.011852,0.001543
0.000680,-0.020952,-0.015437,0.003594,-0.013537,0.002771
-0.004455,-0.024925,-0.023126,0.004149,-0.015574,0.004034
-0.009018,-0.028795,-0.030394,0.004545,-0.017011,0.005059
-0.013764,-0.032712,-0.037418,0.004968,-0.018753,0.006288
-0.018167,-0.036600,-0.043945,0.005436,-0.020278,0.007546
-0.022228,-0.040041,-0.049563,0.005605,-0.021638,0.008423
-0.026214,-0.043554,-0.054671,0.006004,-0.023015,0.009647
-0.029462,-0.046653,-0.058769,0.006258,-0.023823,0.010592
-0.032712,-0.049418,-0.061695,0.006461,-0.024864,0.011412
-0.035076,-0.051829,-0.063384,0.006641,-0.025195,0.012059
-0.037234,-0.053327,-0.063884,0.006357,-0.025534,0.012355
-0.038750,-0.054692,-0.063208,0.006396,-0.025448,0.011992
-0.039819,-0.055422,-0.061459,0.006365,-0.025303,0.011414
-0.040407,-0.055416,-0.058538,0.006153,-0.025163,0.010735
-0.039727,-0.054670,-0.054748,0.005782,-0.024145,0.010063
-0.038947,-0.053220,-0.050035,0.005350,-0.023448,0.008917
